Model,MAE,RMSE,MAPE
Naive Forecast,80.1781543393634,121.56380577033792,57.60209722405146
Seasonal Naive (Lag 24),77.62010533547057,129.71565228040447,78.25146583978297
Moving Avg (3),121.5832379207694,170.52825427161122,124.38284780390009
Moving Avg (6),154.14334783604306,204.5583557491627,291.8571205231361
Moving Avg (24),156.59835127089536,199.36502361311142,652.7531051825965
