Model,MAE,RMSE,MAPE,R2,Train Time (s)
Linear Regression,49.749344075400245,74.99343784791027,75.3512926216049,0.8711234555481456,0.01
Gradient Boosting,51.99907866488113,89.16166393704627,39.9270403277508,0.8178271358887461,13.09
XGBoost,52.06453323364258,89.32999850449175,30.697035923044464,0.8171386122703552,0.53
Random Forest,52.456342079746875,91.31023785632061,29.510053748828145,0.8089415258086436,3.23
Decision Tree,63.93168930450208,112.33951102565474,34.486166673118404,0.7108039110202394,0.14
