Model,MAE,RMSE,MAPE,R2,Train Time (s)
Linear Regression,242.17087670772736,331.9337812458154,0.7751681232750832,0.9978513229687477,0.03
Random Forest,319.25010228847634,472.51063078376706,0.9999446528009177,0.9956459701439536,25.69
XGBoost,349.40458629780227,543.6317901935344,1.0710989914634779,0.9942366111057087,0.97
Gradient Boosting,359.061492129514,509.2030206165546,1.11654981215943,0.994943498069978,112.78
Decision Tree,434.77811452087894,686.2562471671316,1.3742634876264612,0.9908158100616931,0.83
